Дата начисления;Тип начисления;Номер отправления или идентификатор услуги;Дата принятия заказа в обработку или оказания услуги;Склад отгрузки;SKU;Артикул;Название товара или услуги;Количество;За продажу или возврат до вычета комиссий и услуг;Вознаграждение Ozon, %;Вознаграждение Ozon;Сборка заказа;Обработка отправления (Drop-off/Pick-up) (разбивается по товарам пропорционально количеству в отправлении);Магистраль;Последняя миля (разбивается по товарам пропорционально доле цены товара в сумме отправления);Обратная магистраль;Обработка возврата;Обработка отмененного или невостребованного товара (разбивается по товарам в отправлении в одинаковой пропорции);Обработка невыкупленного товара;Логистика;Индекс локализации;Среднее время доставки, часы;Обратная логистика;Итого, руб.
20.01.2026;Услуга размещения товаров на складе;;20.01.2026;;;;;0;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-64,53
21.01.2026;Доставка покупателю;63263911-0171-3;15.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;524,00;27%;-141,48;0,00;0,00;0,00;-2,95;0,00;0,00;0,00;0,00;-46,77;;;0,00;332,80
21.01.2026;Звёздные товары;63263911-0171-3;15.01.2026;FBO;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,62
21.01.2026;Бонусы продавца;63263911-0171-3;15.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,52
21.01.2026;Оплата эквайринга;41360554-0296;21.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-5,34
21.01.2026;Оплата эквайринга;0135784519-0026;21.01.2026;;1691361926;4670227414995;Тестостерон для мужчин, комплекс витаминов для роста мышц и потенции, цинк, тестобустер, витамины для мужчин;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-0,02
21.01.2026;Оплата эквайринга;98526604-0038;21.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-7,20
21.01.2026;Услуга размещения товаров на складе;;21.01.2026;;;;;0;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-63,04
22.01.2026;Оплата эквайринга;0121895223-0072;22.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-10,13
22.01.2026;Доставка покупателю;0142257096-0225-1;20.01.2026;FBO;1659298299;4670157464848;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;487,00;34%;-165,58;0,00;0,00;0,00;-2,20;0,00;0,00;0,00;0,00;-46,77;;;0,00;272,45
22.01.2026;Звёздные товары;0142257096-0225-1;20.01.2026;FBO;1659298299;4670157464848;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-2,44
22.01.2026;Бонусы продавца;0142257096-0225-1;20.01.2026;;1659298299;4670157464848;Л Карнитин комплекс для похудения сжиросжигатель, энергия и коррекция веса, витамины для мужчины и женщин;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-1,71
22.01.2026;Оплата эквайринга;85105024-0120;22.01.2026;;1659212207;4670157464770;Витамин Д3 5000 ME + К2 120 капсул, витаминный комплекс для сосудов и иммунитета;1;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-0,02
22.01.2026;Услуга размещения товаров на складе;;22.01.2026;;;;;0;0,00;0%;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;0,00;;;0,00;-61,06
